,Rank,Bank name,Market cap (US$ billion),MC_GBP_Billion,MC_EUR_Billion,MC_INR_Billion
0,1,JPMorgan Chase,432.92,346.34,419.93,34633.6
1,2,Bank of America,231.52,185.22,224.57,18521.6
2,3,Industrial and Commercial Bank of China,194.56,155.65,188.72,15564.8
3,4,Agricultural Bank of China,160.68,128.54,155.86,12854.4
4,5,HDFC Bank,157.91,126.33,153.17,12632.8
5,6,Wells Fargo,155.87,124.7,151.19,12469.6
6,7,HSBC Holdings PLC,148.9,119.12,144.43,11912.0
7,8,Morgan Stanley,140.83,112.66,136.61,11266.4
8,9,China Construction Bank,139.82,111.86,135.63,11185.6
9,10,Bank of China,136.81,109.45,132.71,10944.8
